window_end,M1_LCC,M2_APL,M3_MeanDeg,M4_NCom,M5_Mod,M6_AbsRat,M7_Close,M8_EigMn,M9_EigMx,M10_PCorr
2005-01-27,0.3181818181818182,2.1904761904761907,0.9090909090909091,,,0.34959394709289104,0.18188087549754314,,0.6347685709619845,-0.019049617902719702
2005-06-07,0.25925925925925924,2.380952380952381,1.1851851851851851,,,0.45454965008344,0.27366068581132347,,0.5441888853596488,-0.029504331104135195
2005-10-14,0.2692307692307692,2.1904761904761907,0.6923076923076923,,,0.4396039770938913,0.18297595150591117,,0.578347056239633,-0.01983040927927017
2006-02-22,0.3548387096774194,3.090909090909091,0.8387096774193549,30.0,0.0,0.40745853837143614,0.14121241656794728,0.04562160313979513,0.4312397044849807,-0.008932850690124361
2006-07-06,0.5526315789473685,3.7476190476190476,1.4210526315789473,36.0,0.5,0.4438849437814385,0.21318451846131237,0.03726579198516465,0.4512578718702211,-0.008205518320414027
2006-11-13,0.3953488372093023,3.3676470588235294,1.0232558139534884,,,0.4797688901526169,0.23651821831457442,,0.5509227310309891,-0.007486060109337591
2007-03-22,0.875,4.144018583042973,2.1666666666666665,45.0,0.6666666666666666,0.4854550516461725,0.33270674306276266,0.02949466760094523,0.46063470145042534,-0.014123785371208748
2007-08-03,0.44680851063829785,3.8476190476190477,1.4042553191489362,45.0,0.5,0.47957130643425444,0.29538044804197616,0.03013405598505645,0.4756982826758998,-0.011380636644070968
2007-12-13,0.8,4.182539682539683,2.0,43.0,0.5,0.5335965380630828,0.3129389072609502,0.03147449411922426,0.47188478006914575,-0.01433054194142246
2008-04-25,0.8571428571428571,3.9303135888501743,2.204081632653061,46.0,0.6666666666666666,0.6437323911791578,0.34368715388198207,,0.40782655196358775,-0.014964978938684505
2008-09-09,0.7619047619047619,4.42741935483871,1.8095238095238095,41.0,0.0,0.5765644763970217,0.3174092907653907,0.033673696499164144,0.4465896591812126,-0.017394062744136556
2009-01-21,0.8888888888888888,3.6474358974358974,2.4444444444444446,,,0.7573630736098113,0.38378721687122436,,0.4757656939358003,-0.01686138100874835
2009-06-01,0.8205128205128205,3.995967741935484,1.9487179487179487,38.0,0.0,0.6391436789945037,0.32222918672351913,0.03626387318534988,0.4723376152376051,-0.019262373168259742
2009-10-13,0.8333333333333334,3.3563218390804597,2.1666666666666665,32.0,0.625,0.6947824590722783,0.3250283044625802,0.04732352075181693,0.5902070775171573,-0.018190463694497443
2010-02-19,0.7297297297297297,3.3732193732193734,1.837837837837838,,,0.5869292071521849,0.3349511687931995,,0.5624895653982666,-0.01521536388952359
2010-07-02,0.25,2.7111111111111112,1.05,39.0,0.0,0.5956769829535647,0.18605754264055735,0.03535809757336074,0.5088608139436678,-0.012270719967690465
